seed,lambda,auroc,auprc,average_precision,accuracy,precision,recall,specificity,fpr,f1,tp,fp,tn,fn,lrn_recall,lrn_detected,slsn_recall,slsn_detected,tde_recall,tde_detected,sn_ia_mean_dist,sn_ii_mean_dist,stellar_flare_mean_dist,variable_star_mean_dist,lrn_mean_dist,slsn_mean_dist,tde_mean_dist
42,0.0,0.8049999999999999,0.8685993919353098,0.8712073345430377,0.64,0.875,0.4666666666666667,0.9,0.1,0.608695652173913,14,2,18,16,0.4,4,1.0,10,0.0,0,7.439960479736328,6.938997840881347,7.07952470779419,7.46015157699585,8.984246349334716,19.488915061950685,7.458607625961304
42,0.1,0.8433333333333334,0.8907073615406522,0.893005564627442,0.64,0.9285714285714286,0.43333333333333335,0.95,0.05,0.5909090909090909,13,1,19,17,0.3,3,1.0,10,0.0,0,8.90110912322998,6.465909004211426,6.077348327636718,8.487617874145508,10.951521730422973,13.624853420257569,8.541513347625733
42,0.2,0.8483333333333333,0.8939696368401555,0.8960833744097754,0.6,0.9166666666666666,0.36666666666666664,0.95,0.05,0.5238095238095238,11,1,19,19,0.1,1,1.0,10,0.0,0,8.849259662628175,7.541488075256348,4.991403102874756,8.777085781097412,10.342023944854736,16.725908470153808,8.69894528388977
123,0.0,0.7516666666666667,0.8546815021208248,0.8570612850901087,0.6,1.0,0.3333333333333333,1.0,0.0,0.5,10,0,20,20,0.0,0,1.0,10,0.0,0,5.028261470794678,5.411431312561035,4.7007097721099855,4.802078342437744,5.575733995437622,24.257828521728516,5.159643530845642
123,0.1,0.7450000000000001,0.8477448654408433,0.8503236446997169,0.6,1.0,0.3333333333333333,1.0,0.0,0.5,10,0,20,20,0.0,0,1.0,10,0.0,0,5.054171752929688,5.428346443176269,4.708790302276611,4.833712577819824,5.587746810913086,26.172407150268555,5.188266706466675
123,0.2,0.7383333333333334,0.8359510407212498,0.8388125132881723,0.6,1.0,0.3333333333333333,1.0,0.0,0.5,10,0,20,20,0.0,0,1.0,10,0.0,0,5.050720596313477,5.40273609161377,4.69682731628418,4.895854854583741,5.522943782806396,27.560581398010253,5.195355319976807
2024,0.0,0.7816666666666666,0.8792134184035536,0.8810471033872143,0.62,1.0,0.36666666666666664,1.0,0.0,0.5365853658536585,11,0,20,19,0.1,1,1.0,10,0.0,0,6.2838208198547365,6.737653923034668,6.986823463439942,6.431858348846435,7.779652404785156,27.784609413146974,6.94666633605957
2024,0.1,0.8983333333333333,0.9364152143609412,0.9374760966919328,0.64,1.0,0.4,1.0,0.0,0.5714285714285715,12,0,20,18,0.2,2,1.0,10,0.0,0,7.380712795257568,6.501570034027099,4.437528848648071,7.602263736724853,9.737012767791748,12.264561367034911,8.090229320526124
2024,0.2,0.8866666666666667,0.9341057680289652,0.9351183990428176,0.66,1.0,0.43333333333333335,1.0,0.0,0.6046511627906976,13,0,20,17,0.3,3,1.0,10,0.0,0,7.34291639328003,6.297332763671875,5.517585945129395,7.169538402557373,10.118756437301636,14.263645458221436,7.790431165695191
7,0.0,0.8233333333333334,0.8912670532931597,0.8931978829637444,0.7,0.9411764705882353,0.5333333333333333,0.95,0.05,0.6808510638297872,16,1,19,14,0.6,6,1.0,10,0.0,0,6.979409217834473,8.122685146331786,5.255875015258789,6.10958948135376,9.707330465316772,47.87237205505371,6.677057313919067
7,0.1,0.9033333333333333,0.934444151775448,0.935593233322211,0.52,1.0,0.2,1.0,0.0,0.33333333333333337,6,0,20,24,0.5,5,0.1,1,0.0,0,9.188348388671875,5.495285129547119,4.809025049209595,7.557886791229248,12.741837406158448,12.558755779266358,8.556056022644043
7,0.2,0.875,0.9166274834747157,0.9180810845102478,0.6,1.0,0.3333333333333333,1.0,0.0,0.5,10,0,20,20,0.0,0,1.0,10,0.0,0,8.74588098526001,7.370526695251465,4.043162202835083,7.977792835235595,11.782437419891357,15.263757419586181,8.314085006713867
99,0.0,0.7783333333333333,0.8701024856589042,0.8721730120467093,0.62,1.0,0.36666666666666664,1.0,0.0,0.5365853658536585,11,0,20,19,0.1,1,1.0,10,0.0,0,6.625176334381104,7.229558944702148,7.028704357147217,6.098301029205322,8.476875114440919,23.186664390563966,6.7702351093292235
99,0.1,0.7866666666666666,0.8728486607895323,0.8749482721502146,0.62,1.0,0.36666666666666664,1.0,0.0,0.5365853658536585,11,0,20,19,0.1,1,1.0,10,0.0,0,7.10219440460205,7.2761509895324705,7.873492050170898,6.236963081359863,9.516419553756714,17.391829681396484,6.948828172683716
99,0.2,0.7383333333333333,0.7743089402210686,0.7845599661909033,0.42,1.0,0.03333333333333333,1.0,0.0,0.06451612903225806,1,0,20,29,0.1,1,0.0,0,0.0,0,7.360948371887207,6.60315637588501,8.512097263336182,6.397598838806152,11.30675392150879,9.32175931930542,6.564773941040039
