failure_category,candidate_id,ztf_designation,astrophysical_class,population_family,ensemble_score,ae_score,mahalanobis_score,energy_score,valid_token_count,padding_fraction,available_filters,baseline_days,primary_failure_driver
False Positive (Known In-Distribution),CAND_SNII_009,ZTF18abckutn,SN IIP,SN_II,0.8259774197441686,0.9995383509232487,0.999895311400048,0.13087698988352942,35,0.3,"zg,zi,zr",2743.7237,Saturated Mahalanobis detector (norm=1.0) caused by zero-image centroid shift and complex multi-band morphology
False Positive (Known In-Distribution),CAND_SNIa_003,ZTF19acdgwhq,SN Ia,SN_Ia,0.8236970842895652,0.9422874517927644,0.991821287475494,0.23045440863821745,38,0.24,"zg,zr",2554.9955,Saturated Mahalanobis detector (norm=1.0) caused by zero-image centroid shift and complex multi-band morphology
False Positive (Known In-Distribution),CAND_SNII_004,ZTF18aavqdyq,SN II,SN_II,0.8203637931006443,0.9980017310988507,0.9993729218312389,0.10652118335008605,50,0.0,"zg,zi,zr",2673.7645,Saturated Mahalanobis detector (norm=1.0) caused by zero-image centroid shift and complex multi-band morphology
False Positive (Known In-Distribution),CAND_SNII_036,ZTF18acbwaxk,SN II,SN_II,0.8200626866070602,0.9861597878145163,0.9996963380195251,0.1231865612852143,49,0.02,"zg,zi,zr",619.7206,Saturated Mahalanobis detector (norm=1.0) caused by zero-image centroid shift and complex multi-band morphology
False Positive (Known In-Distribution),CAND_SNII_001,ZTF18aapifti,SN IIP,SN_II,0.817027070025719,0.9999766977006128,0.9999947418825529,0.08518525328948742,23,0.54,"zg,zi",2556.0077,Saturated Mahalanobis detector (norm=1.0) caused by zero-image centroid shift and complex multi-band morphology
False Negative (OOD Anomaly),CAND_CV_001,ZTF17aaaemzh,Cataclysmic_Variable,Cataclysmic_Variable,0.2797408600126863,0.03913385475986531,0.47323144187500776,0.20033467194762816,50,0.0,"zg,zi,zr",2704.8134,Low Mahalanobis and Energy scores due to phenomenological similarity with normal synthetic Variable_Star periodic/stochastic templates
False Negative (OOD Anomaly),CAND_CV_003,ZTF18abgopgb,Cataclysmic_Variable,Cataclysmic_Variable,0.45007487399801066,0.052210034820277536,0.7840259891315701,0.28517594036184096,43,0.14,"zg,zi,zr",2699.8498,Low Mahalanobis and Energy scores due to phenomenological similarity with normal synthetic Variable_Star periodic/stochastic templates
False Negative (OOD Anomaly),CAND_CV_002,ZTF18abdlywu,Cataclysmic_Variable,Cataclysmic_Variable,0.4543661645540801,0.05797578003523437,0.8000619335581419,0.25892093417448464,50,0.0,"zg,zi,zr",2713.8134,Low Mahalanobis and Energy scores due to phenomenological similarity with normal synthetic Variable_Star periodic/stochastic templates
False Negative (OOD Anomaly),CAND_CV_010,ZTF18abscxct,Cataclysmic_Variable,Cataclysmic_Variable,0.4892986932573302,0.05139249715434226,0.8398355668896885,0.34866011030445127,50,0.0,"zg,zr",2739.2003,Low Mahalanobis and Energy scores due to phenomenological similarity with normal synthetic Variable_Star periodic/stochastic templates
False Negative (OOD Anomaly),CAND_CV_013,ZTF17aaavfwx,Cataclysmic_Variable,Cataclysmic_Variable,0.5107312804826913,0.05458401814262738,0.9089085379631567,0.28494148227367616,50,0.0,"zg,zr",2747.3306,Low Mahalanobis and Energy scores due to phenomenological similarity with normal synthetic Variable_Star periodic/stochastic templates
Control Outlier (Unclassified Field Star),CAND_FieldStar_005,Gaia_DR3_2028862462419639552,Unclassified Field Star,Unclassified_Field_Star,0.825677870035249,0.999651505100593,0.9994369388164209,0.1300837225717139,36,0.28,"zi,zr",2714.6869,Elevated Mahalanobis distance driven by high padding fraction and missing green (zg) passband
Control Outlier (Unclassified Field Star),CAND_FieldStar_003,Gaia_DR3_2028862462419332224,Unclassified Field Star,Unclassified_Field_Star,0.8108297464264547,0.9999747692000013,0.9995290294727289,0.054873690950449534,6,0.88,"zi,zr",2730.6604,Elevated Mahalanobis distance driven by high padding fraction and missing green (zg) passband
Control Outlier (Unclassified Field Star),CAND_FieldStar_006,Gaia_DR3_2028862462419639936,Unclassified Field Star,Unclassified_Field_Star,0.8038395541526764,0.9988424852715116,0.9999856479973473,0.021084239135329582,50,0.0,"zi,zr",2718.7166,Elevated Mahalanobis distance driven by high padding fraction and missing green (zg) passband
Control Outlier (Unclassified Field Star),CAND_FieldStar_004,Gaia_DR3_2028862462419332608,Unclassified Field Star,Unclassified_Field_Star,0.8037756093606112,0.9985607956406408,0.9999884364784108,0.021208526229844735,50,0.0,"zg,zi,zr",2730.6832,Elevated Mahalanobis distance driven by high padding fraction and missing green (zg) passband
Control Outlier (Unclassified Field Star),CAND_FieldStar_007,Gaia_DR3_2028862462419640320,Unclassified Field Star,Unclassified_Field_Star,0.8014941754975243,0.992403769101378,0.9994081108005866,0.021045381004009052,33,0.34,"zi,zr",2730.6604,Elevated Mahalanobis distance driven by high padding fraction and missing green (zg) passband
