object_id,ra,dec,irsa_verified,raw_observations,clean_observations,filters,authoritative_label,label_source,label_type,pilot_description,object_role,peak_window_valid,cycle_fallback_used,same_night_binning,quantile_subsampling,zero_padding,negative_flux_present,normalization_method,normalization_status,leakage_risk,benchmark_ready,notes
ZTF_VAR_01,297.886280,29.879896,True,1686,1470,"zg,zr,zi",None,None,None,"Variable Star (zg, zr, zi) in Field 686",preprocessing_stress_test,False,False,True,True,False,False,peak_scaled,engineering_heuristic,Low,False,"Critical spatial mismatch: OIDs 686103400034440 (g), 686203400034440 (r), and 686303400034440 (i) are distinct stars separated by up to 14.6 arcmin on the detector. No authoritative spectroscopic classification."
ZTF_VAR_02,297.885352,29.934371,True,1075,888,"zg,zr,zi",None,None,None,"Variable Candidate (zg, zr, zi) in Field 686",preprocessing_stress_test,False,False,True,True,False,False,peak_scaled,engineering_heuristic,Low,False,"Spatial mismatch: OIDs represent distinct stars separated by up to 44.5 arcmin. IRSA documentation sample ID only. No authoritative classification."
ZTF_VAR_03,297.914347,29.981658,True,1879,1680,"zg,zr",None,None,None,"Periodic Variable (zg, zr) in Field 686",preprocessing_stress_test,False,False,True,False,True,False,peak_scaled,engineering_heuristic,Low,False,"Spatial mismatch: OIDs 686103400106565 (g) and 686203400106565 (r) are distinct stars separated by 14.8 arcmin. No authoritative classification."
ZTF_SRC_04,297.479177,30.484818,True,716,600,"zg,zr",None,None,None,"Faint Variable Star (zg, zr) in Field 686",preprocessing_stress_test,False,False,False,False,True,False,peak_scaled,engineering_heuristic,Low,False,"Spatial mismatch: OIDs separated by 8.2 arcmin. Field 686 catalog counter object. No authoritative classification."
ZTF_SRC_05,297.722205,30.484439,True,755,624,"zg,zr",None,None,None,"Variable Source (zg, zr) in Field 686",preprocessing_stress_test,False,False,True,False,True,False,peak_scaled,engineering_heuristic,Low,False,"Spatial mismatch: OIDs separated by 34.1 arcmin. Field 686 catalog counter object. No authoritative classification."
ZTF_FLARE_06,297.829988,30.482798,True,857,714,"zg,zr",None,None,None,"High-Amplitude Variable / Flare (zg, zr)",preprocessing_stress_test,False,False,False,False,True,False,peak_scaled,engineering_heuristic,Low,False,"Spatial mismatch: OIDs separated by 24.2 arcmin. Flagged insufficient post-peak coverage in window selector. No authoritative classification."
ZTF_FAINT_07,297.456685,30.469145,True,1124,1033,"zg,zr",None,None,None,"Faint Detection-Limit Source (zg, zr)",preprocessing_stress_test,False,False,True,False,True,False,peak_scaled,engineering_heuristic,Low,False,"Spatial mismatch: OIDs separated by 17.0 arcmin. Faint catalog star; no authoritative classification."
ZTF_BRIGHT_08,298.105992,30.263044,True,1912,1703,"zg,zr",None,None,None,"Bright Variable Star (zg, zr)",preprocessing_stress_test,False,False,True,True,False,False,peak_scaled,engineering_heuristic,Low,False,"Spatial mismatch: OIDs separated by 8.5 arcmin. Bright field star; no authoritative classification."
ZTF_SPARSE_09,298.002521,29.871492,True,18,15,"zg",None,None,None,"Sparse Real Sample (18 obs) for Padding Test",preprocessing_stress_test,False,False,True,False,True,False,peak_scaled,engineering_heuristic,Low,False,"Subsampled engineering slice (18 obs) derived from OID 686103400034440 to test <50 padding and masking. Single coordinate (zg). No authoritative classification."
ZTF_BURST_10,297.564416,30.487751,True,70,52,"zr",None,None,None,"Outburst Episode (70 obs) for Windowing & Binning Test",preprocessing_stress_test,False,False,True,False,True,False,peak_scaled,engineering_heuristic,Low,False,"Windowed engineering slice (70 obs) derived from OID 686203400000100 to test burst windowing. Single coordinate (zr). No authoritative classification."
